neighbourhood_cleansed,chars,reviews,words_per_review,positivity,subjectivity,stars
Park Slope,2328777,5617,74.2300160228,69.6374466792,80.4747744864,4.70240384615
Parkchester,74949,191,73.9633507853,67.2198372397,78.3108743819,4.49842931937
Pelham Bay,30182,84,66.8452380952,67.2314513649,78.9705901536,4.3875
Pelham Gardens,35707,98,66.7653061224,68.5308569628,80.4619304727,4.78928571429
Port Morris,86082,180,86.4555555556,67.4422558883,77.9372625683,4.64222222222
Port Richmond,1726,5,66.0,64.4537902661,78.0978031954,4.6
Prospect Heights,1640513,3894,74.8662044171,69.2592749035,79.8326033506,4.65775552131
Prospect-Lefferts Gardens,1621904,3794,76.8479177649,67.5974864806,79.2670782431,4.58716394307
Queens Village,67787,181,69.591160221,68.9639717646,80.1807145002,4.66436464088
Randall Manor,47561,115,76.1043478261,68.3806906933,80.5356913154,4.49652173913
Red Hook,227165,504,81.9563492063,68.753681809,79.0591363297,4.61994047619
Rego Park,135984,357,67.3389355742,69.0941371538,79.8037042377,4.73991596639
Richmond Hill,243140,644,68.6739130435,67.3012265237,79.3836000371,4.64440993789
Richmondtown,2412,7,66.1428571429,64.2434704185,74.7201201576,4.55
Ridgewood,1050380,2675,70.774953271,68.078957734,78.9863830452,4.58786915888
Riverdale,50565,142,65.6690140845,67.5933488166,80.1834732174,4.81373239437
Rockaway Beach,36551,130,51.1615384615,71.7820087518,82.8142348754,4.71769230769
Roosevelt Island,220407,512,78.001953125,68.101110519,79.4818867164,4.6037109375
Rosebank,1148,4,48.0,65.8854166667,75.4875,4.75
Rosedale,23143,59,74.593220339,68.5726584448,79.291798453,4.61271186441
Schuylerville,818,2,71.0,69.2176470588,76.818627451,5.0
Sheepshead Bay,115260,295,70.9288135593,68.569233714,79.1916557171,4.65033898305
Shore Acres,42450,79,98.8987341772,66.3607596818,77.6793697181,4.59556962025
Silver Lake,4677,16,52.4375,70.8439350618,81.9384359268,4.875
SoHo,2048672,4996,73.6146917534,69.2756996526,79.8450276947,4.62227782226
Soundview,23124,51,82.8431372549,65.8371435262,77.0616604627,4.68333333333
South Beach,14547,50,53.96,67.753572561,78.6435710995,4.539
South Ozone Park,58594,152,72.3881578947,66.6156676902,78.8666474139,4.35
South Slope,1343327,3142,76.6995544239,69.4592738635,80.3941857017,4.7223742839
Springfield Gardens,58682,219,49.7579908676,66.98811999,78.8550509726,4.35776255708
Spuyten Duyvil,5472,19,52.8947368421,72.0620353644,81.9826642986,4.55263157895
St. Albans,107486,265,74.6603773585,68.3408130299,80.1860677293,4.55660377358
St. George,230002,477,87.9412997904,66.3226677737,78.2841693413,4.58700209644
Stapleton,27128,71,70.1267605634,67.1722620453,79.1663842574,4.76056338028
Stuyvesant Town,412408,1031,71.8952473327,69.0910890996,79.5785221105,4.62192046557
Sunnyside,733963,1742,75.6383467279,67.9123646372,79.0711432171,4.70674512055
Sunset Park,747652,1823,73.970378497,67.311008067,78.7988984042,4.53869994515
Theater District,773363,1906,72.888772298,68.2094653561,78.3640805415,4.61865162644
Throgs Neck,4114,10,77.4,71.6040038737,82.5293133949,4.92
Todt Hill,4740,12,72.9166666667,67.7213631854,77.2634579926,4.91666666667
Tompkinsville,110212,253,78.0395256917,67.5799676025,79.6008370562,4.59664031621
Tottenville,5315,13,72.9230769231,75.5449895864,85.3227570282,4.85
Tremont,10336,28,67.2142857143,66.2223715982,76.4936188426,4.60535714286
Tribeca,437974,1060,73.8169811321,69.6195890137,80.1990698526,4.74070754717
Two Bridges,242483,602,72.4235880399,67.5994893406,78.5105683287,4.61171096346
Unionport,3714,7,98.5714285714,67.4831521353,76.2363443213,5.0
University Heights,27301,78,64.1538461538,67.3834968728,78.1417733395,4.71538461538
Upper East Side,6507871,16050,72.5490965732,67.3764105202,78.3135015807,4.55911838006
Upper West Side,7873048,18692,75.5708324417,67.949721443,78.771392091,4.63273057993
Van Nest,1460,2,120.5,63.2703182234,74.401614011,4.5
Vinegar Hill,143749,336,76.0505952381,70.5234972414,80.593329858,4.79955357143
Wakefield,7733,19,73.8947368421,66.8243416777,79.0517545561,4.68421052632
Washington Heights,2509951,6174,73.3475866537,67.5701307994,78.793038743,4.57765630062
West Brighton,2795,3,175.666666667,66.2442189755,81.4373346561,4.66666666667
West Farms,2661,5,92.0,73.905952381,84.6142857143,4.0
West Village,4131802,9789,75.585963837,69.783511473,80.5229147727,4.65895903565
Westchester Square,10129,20,94.3,66.9715386306,79.7849281621,4.31
Whitestone,672,2,59.5,73.9191468254,74.1240079365,5.0
Williamsbridge,29423,92,59.6304347826,68.7709330798,80.5733635301,4.56847826087
Williamsburg,17355340,42608,73.062805107,69.6183410148,80.3658794942,4.64990846575
Windsor Terrace,401219,980,73.0214285714,68.8822864781,80.009135573,4.67693877551
Woodhaven,135352,489,48.6175869121,67.3181858138,78.0045367859,4.60899795501
Woodlawn,38931,111,66.0900900901,68.6586280414,80.3168707285,4.61126126126
Woodside,405316,995,72.8211055276,67.4694118772,78.8646926582,4.74442211055
